ID,ULTIMO_INGRESO,ID_FAB,DETALLE,CANTIDAD,COSTO_U,COSTO_TOTAL,VENTA_TOTAL,GANANCIA,BENF_COST_%,BENF_VENT_%,COTIZACION,PROVEEDOR
120800,12/03/2026,MILAN-2CN-N,"TECLA MILAN NEGRO MACROLED, 2 CANAL, 2 VIAS, AC 250V, 10A MAX. BASTIDOR METALICO",1.000,2.08000,2.08000000,3.11,1.03,49.56,33.14,,CORESA GROUP SRL
121149,20/01/2026,SLEG-860-1000GCS,DISCO SSD 1TB ADATA LEGEND 860 M.2 NVME 4x4 6000MB/s,6.000,135.12000,810.72000000,1077.8,267.08,32.94,24.78,,LASET S.A.
122461,12/03/2026,MILAN-2TC-1USB-C-G,"TOMACORRIENTE DOBLE Y USB-C MILAN GRIS MACROLED, AC 250V, 10A MAX. 1 USB-C DE 20W, BASTIDOR METALICO",1.000,11.34000,11.34000000,13.94,2.6,22.95,18.67,,CORESA GROUP SRL
121485,13/11/2025,RX-650XTB,FUENTE GAMER 650W RAIDMAX XTB,1.000,19.24000,19.24000000,27.89,8.65,44.94,31.01,,LASET S.A.
122356,11/03/2026,RX9060XT SL 8G,PLACA DE VIDEO ASROCK RX9060XT 8GB OC STEEL LEGEND WHITE,8.000,316.50000,2532.00000000,3163.71,631.71,24.95,19.97,,LASET S.A.
121601,24/06/2026,25717,MOUSE PAD TRUST XXL JAPAN WHITE GXT759,1.000,9.91000,9.91000000,10.52,0.61,6.21,5.84,,LASET S.A.
122447,12/03/2026,MILAN-1CN-1TC-B,"TECLA Y TOMACORRIENTE MILAN BLANCO MACROLED, 1 CANAL, AC 250V, 10A MAX. BASTIDOR METALICO",5.000,1.80500,9.02500000,11.12,2.09,23.17,18.81,,CORESA GROUP SRL
102894,13/11/2025,SFX-GC782,GABINETE SFX KIT 782 BLACK,1.000,22.35000,22.35000000,27.03,4.68,20.94,17.31,,LASET S.A.
103748,10/06/2026,TCA-2000N-V,LYONN ESTABILIZADOR ELECT. TCA-2000N-V,13.000,23.72144,308.37872000,382.92,74.55,24.17,19.47,,SOLYTEC
122555,14/04/2026,SDSSDE30-2T00-G26,SSD EXTERNO 2TB SANDISK PORTABLE USB-C 3.2 800Mbps,3.000,206.26000,618.78000000,841.19,222.41,35.94,26.44,,LASET S.A.
102278,20/05/2026,31300005401,TECLADO GENIUS KB-100 SMART USB BLACK,5.000,4.26000,21.30000000,22.65,1.35,6.32,5.95,,LASET S.A.
104831,23/04/2026,ARXGP-600W,FUENTE GAMER AUREOX 600W PSU ARXGP-600,5.000,16.71000,83.55000000,111.89,28.34,33.92,25.33,,LASET S.A.
104466,16/10/2025,BX8070110400,PROCESADOR INTEL (LGA1200) CORE I5 10400,5.000,102.18000,510.90000000,740.52,229.62,44.94,31.01,,LASET S.A.
119933,22/05/2026,RZ01-05240100-R3U1,MOUSE GAMER RAZER BASILISK V3 PRO BLACK 35K  HYPERSPEED WIRELESS,1.000,98.37000,98.37000000,121.93,23.56,23.95,19.32,,LASET S.A.
120360,05/05/2026,GS25F2 SA,MONITOR GAMER GIGABYTE 24.5 GS25F2 200hz,5.000,95.04000,475.20000000,627.76,152.56,32.1,24.3,,LASET S.A.
121292,12/03/2026,MILAN-1CN-G,"TECLA MILAN GRIS MACROLED, 1 CANAL, 2 VIAS, AC 250V, 10A MAX. BASTIDOR METALICO",2.000,1.63000,3.26000000,4.08,0.82,25.14,20.09,,CORESA GROUP SRL
119142,21/05/2026,100-00000662WOF,PROCESADOR AMD (AM5) RYZEN 9 9900X,1.000,392.00000,392.00000000,434.95,42.95,10.96,9.87,,LASET S.A.
119247,05/05/2026,GB-C102G,GABINETE GAMER GIGABYTE C102G M-ATX BLACK,10.000,27.60000,276.00000000,331.21,55.21,20,16.67,,LASET S.A.
119961,25/08/2025,25302,AURICULAR GAMER TRUST FAYZO 7.1 WHITE GXT490W,1.000,35.51000,35.51000000,44.37,8.86,24.95,19.97,,LASET S.A.
119971,10/02/2025,25110,PARLANTE BARRA DE SONIDO TRUST THORNE RGB WHITE GXT619W,3.000,25.92000,77.76000000,98.71,20.95,26.95,21.23,,LASET S.A.
120807,09/02/2026,GP--AE850PM PG5,FUENTE GAMER GIGABYTE 850W PG5 AORUS ELITE PLATINUM MODULAR ATX3.1,2.000,108.95000,217.90000000,257.02,39.12,17.95,15.22,,LASET S.A.
120209,19/05/2026,TUF GAMING B850-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING B850-PLUS WIFI,1.000,201.06000,201.06000000,253.23,52.17,25.95,20.6,,LASET S.A.
120648,26/05/2026,B850M D3HP,MOTHER GIGABYTE (AM5) B850M D3HP,1.000,103.45000,103.45000000,116.85,13.4,12.95,11.47,,LASET S.A.
121483,13/11/2025,H200ZA,GABINETE GAMER RAIDMAX HURRIKAN H200 E-ATX ARGB PWM WHITE/BLACK,1.000,43.43000,43.43000000,78.14,34.71,79.93,44.42,,LASET S.A.
120649,03/09/2025,B840M A ELITE WIFI6E,MOTHER GIGABYTE (AM5) B840M AORUS ELITE WIFI6E,1.000,143.20000,143.20000000,161.75,18.55,12.95,11.47,,LASET S.A.
120753,20/04/2026,9H.LNELJ.LBL,MONITOR 24 BENQ GW2491 BLACK FHD IPS 100hz,3.000,68.48000,205.44000000,256.68,51.24,24.94,19.96,,LST GLOBAL
121256,15/09/2025,CL-F191-PL14SW-A,COOLER THERMALTAKE CT140 EX ARGB SYNC WHITE,1.000,48.52000,48.52000000,51.52,3,6.19,5.83,,LASET S.A.
