ID,Ultimo_Ingreso,ID_Fab,Detalle,Cantidad,Costo_U,Costo,Venta,Renta,Benf_Cost,Benf_Vent,Cotizacion,Proveedor
119945,10/02/2025,25479,MOUSE TRUST SURA CONFORTABLE WIRELESS,1.000,5.75000,5.75000000,6.5,0.75,13.07,11.56,,LASET S.A.
120263,03/09/2025,X870 A ELITE WF7 ICE 1.0,MOTHER GIGABYTE (AM5) X870 AORUS ELITE WF7 ICE,1.000,237.78000,237.78000000,281.95,44.17,18.58,15.67,,LASET S.A.
120532,17/06/2025,CA-1Y8-00S1WN-02,GABINETE GAMER THERMALTAKE VERSA H16 TG ARGB BLACK TEMP GLASS,1.000,34.55000,34.55000000,48.85,14.3,41.38,29.27,,LASET S.A.
111605,07/10/2021,GC1000,TECLADO y MOUSE + PAD AUREOX LIFELIGHT GAMING GC1000,1.000,17.17960,17.17960000,23.06,5.88,34.24,25.51,,LASET S.A.
118357,08/09/2025,100-100000644BOX,PROCESADOR AMD (AM4) RYZEN 5 4500 65W,1.000,62.87000,62.87000000,60.16,-2.71,-4.31,-4.51,,LASET S.A.
119770,27/03/2025,H610M-HDV/M.2+ D5,MOTHER ASROCK (LGA1700) H610M-HDV/M.2+ D5,2.000,60.68000,121.36000000,135.68,14.32,11.8,10.55,,LASET S.A.
121180,19/09/2025,PRIME-RX9060XT-O16G,PLACA DE VIDEO ASUS PRIME RX 9060XT O16GB,6.000,389.25000,2335.50000000,2691.92,356.42,15.26,13.24,,LASET S.A.
104830,03/12/2025,ARXGP-500W,FUENTE AUREOX 500W ARXGP 500,1.000,15.65000,15.65000000,31.95,16.3,104.13,51.01,,LASET S.A.
104843,23/04/2026,23712,AURICULAR TRUST PRIMO TOUCH BT BLACK,1.000,15.70000,15.70000000,17.62,1.92,12.2,10.87,,New Bytes INC
115746,13/08/2025,NT01N930E-001T-E4X,DISCO SSD NETAC N930E PRO PCLE 3X4 M.2 2280 NVME 3D NAND 1 TB,1.000,48.88000,48.88000000,56.47,7.59,15.53,13.44,,LASET S.A.
119203,29/05/2025,25246,ACCESORIOS TRUST FUNDA LISBOA BLACK 16,1.000,16.42000,16.42000000,19.84,3.42,20.82,17.23,,LASET S.A.
120325,22/09/2025,90NB0ZT2-M01360,ASUS NOTEBOOK E 1504 I-N100 15 256G 4G FREE,1.000,273.57490,273.57490000,297.74,24.16,8.83,8.12,,PCARTS Argentina SA
118924,25/07/2025,PVV516G560C40K,MEMORIA PATRIOT VIPER VENOM DDR5 16GB 5600MT/S CL40 BLK/SIR HS DUAL KIT PE000872,3.000,46.28000,138.84000000,180.09,41.25,29.71,22.9,,LASET S.A.
119484,25/07/2025,PVVR532G60C30,MEMORIA PATRIOT VIPER VENOM DDR5 32GB 6000 MTS RGB SINGLE CL30 BLK/SIR PE001064,5.000,83.32000,416.60000000,631.07,214.47,51.48,33.99,,LASET S.A.
119915,19/05/2025,RZ04-04960100-R3U1,AURICULAR GAMER RAZER BLACKSHARK V2 BLACK HYPERSPEED WIRELESS +BT +USB,1.000,101.83000,101.83000000,135.66,33.83,33.22,24.94,,LASET S.A.
121090,15/09/2025,CL-W462-PL12SW-A,WATER COOLER THERMALTAKE LA360-S ARGB SYNC ALL IN ONE BLACK,7.000,79.78000,558.46000000,658.67,100.21,17.94,15.21,,LASET S.A.
117258,16/04/2025,WDS480G3G0A,DISCO SSD SATA 480GB WD GREEN,1.000,23.12000,23.12000000,30.15,7.03,30.41,23.32,,LASET S.A.
119726,05/05/2026,GP-P550SS,FUENTE GAMER GIGABYTE 550W 80 PLUS SILVER ATX 3.0,4.000,31.75000,127.00000000,160.78,33.78,26.6,21.01,,LASET S.A.
121120,11/07/2025,SM-S938B/DS,SAMSUNG TELEFONO GALAXY S25 ULTTA 512GB 12GB RAM AI modelo global gris titanio,1.000,842.97000,842.97000000,953.72,110.75,13.14,11.61,,BAIRES INTERNACIONAL SRL
118299,29/07/2025,AX4U320016G16A-SWHD35G,MEMORIA ADATA DIMM XPG  16GB 16A DDR4 3200 RGB WHITE,5.000,37.15000,185.75000000,202.03,16.28,8.77,8.06,,ADATA TECHNOLOGY
119370,12/02/2026,PVER532G60C30KW,MEMORIA PATRIOT DDR5 VIPER ELITE 5 32GB 6000 MTS RGB CL30 WHITE H DUAL KIT PE001041,7.000,400.00000,2800.00000000,886.03,-1913.97,-68.36,-216.02,,LASET S.A.
120630,08/09/2025,SDSSDA3N-1T00-G26,DISCO SSD M.2 1TB SANDISK PLUS NVME,16.000,48.85000,781.60000000,846.36,64.76,8.29,7.65,,LASET S.A.
120164,12/02/2026,11348-03-20G,PLACA DE VIDEO SAPPHIRE PULSE RX 9070 XT 16GB,5.000,709.00000,3545.00000000,3860.02,315.02,8.89,8.16,,LASET S.A.
121242,01/06/2026,LS27D300GALXZB,MONITOR SAMSUNG LED 27 D300,16.000,91.16158,1458.58528000,1693.68,235.1,16.12,13.88,,Stylus SA
